Code	Category	Decision_FW
7K6e3	2	exclusion code
7K6ex	2	exclusion code
7K6ey	2	exclusion code
7K6ez	2	exclusion code
7K685	2	exclusion code
7K6q.	2	exclusion code
7K6q0	2	exclusion code
7K6q1	2	exclusion code
7K6q2	2	exclusion code
7K6qx	2	exclusion code
7K6qy	2	exclusion code
7K6qz	2	exclusion code
S45..	3	exclusion code
S450.	3	exclusion code
S4500	3	exclusion code
S4501	3	exclusion code
S4502	3	exclusion code
S4503	3	exclusion code
S450z	3	exclusion code
S451.	3	exclusion code
S4510	3	exclusion code
S4511	3	exclusion code
S4512	3	exclusion code
S4513	3	exclusion code
S451z	3	exclusion code
S452.	3	exclusion code
S4520	3	exclusion code
S4521	3	exclusion code
S4522	3	exclusion code
S453.	3	exclusion code
S4530	3	exclusion code
S4531	3	exclusion code
S4532	3	exclusion code
S45z.	3	exclusion code
S4E..	3	exclusion code
S4E0.	3	exclusion code
S4E1.	3	exclusion code
S4E2.	3	exclusion code
S4E3.	3	exclusion code
SA020	3	exclusion code
SA05.	3	exclusion code
SF300	3	exclusion code
SF302	3	exclusion code
SF303	3	exclusion code
SK1D.	3	exclusion code
SK1D1	3	exclusion code
S10B3	3	exclusion code
S10B4	3	exclusion code
S13..	3	exclusion code
S130.	3	exclusion code
S1300	3	exclusion code
S1301	3	exclusion code
S1302	3	exclusion code
S1303	3	exclusion code
S1304	3	exclusion code
S1305	3	exclusion code
S1306	3	exclusion code
S130y	3	exclusion code
S130z	3	exclusion code
S131.	3	exclusion code
S1310	3	exclusion code
S1311	3	exclusion code
S1312	3	exclusion code
S1313	3	exclusion code
S1314	3	exclusion code
S1315	3	exclusion code
S1316	3	exclusion code
S131y	3	exclusion code
S131z	3	exclusion code
S132.	3	exclusion code
S1320	3	exclusion code
S1321	3	exclusion code
S1322	3	exclusion code
S132y	3	exclusion code
S132z	3	exclusion code
S133.	3	exclusion code
S1330	3	exclusion code
S1331	3	exclusion code
S1332	3	exclusion code
S133y	3	exclusion code
S133z	3	exclusion code
S134.	3	exclusion code
S1340	3	exclusion code
S1341	3	exclusion code
S1342	3	exclusion code
S1343	3	exclusion code
S1344	3	exclusion code
S1345	3	exclusion code
S1346	3	exclusion code
S1347	3	exclusion code
S134z	3	exclusion code
S135.	3	exclusion code
S1350	3	exclusion code
S1351	3	exclusion code
S1352	3	exclusion code
S1353	3	exclusion code
S1354	3	exclusion code
S1355	3	exclusion code
S1356	3	exclusion code
S1357	3	exclusion code
S135y	3	exclusion code
S135z	3	exclusion code
S13y.	3	exclusion code
S13z.	3	exclusion code
S30..	3	exclusion code
N3682	4	exclusion code
S46D.	4	exclusion code
N0701	5	exclusion code
N0709	5	exclusion code
N070A	5	exclusion code
N070B	5	exclusion code
N0711	5	exclusion code
N0715	5	exclusion code
N0716	5	exclusion code
N0717	5	exclusion code
